| z | u | f |
| 5.0610122024e-02 | 3.9153179870e-07 | 5.9095301267e+02 |
| 5.0810162032e-02 | 3.9152754945e-07 | 5.9328923240e+02 |
| 5.1010202040e-02 | 3.9152328343e-07 | 5.9562545615e+02 |
| 5.1210242048e-02 | 3.9151900065e-07 | 5.9796168392e+02 |
| 5.1410282056e-02 | 3.9151470111e-07 | 6.0029791570e+02 |
| 5.1610322064e-02 | 3.9151038480e-07 | 6.0263415149e+02 |
| 5.1810362072e-02 | 3.9150605173e-07 | 6.0497039127e+02 |
| 5.2010402080e-02 | 3.9150170189e-07 | 6.0730663505e+02 |
| 5.2210442088e-02 | 3.9149733529e-07 | 6.0964288281e+02 |
| 5.2410482096e-02 | 3.9149295192e-07 | 6.1197913454e+02 |
| 5.2610522104e-02 | 3.9148855179e-07 | 6.1431539024e+02 |
| 5.2810562112e-02 | 3.9148413489e-07 | 6.1665164989e+02 |
| 5.3010602120e-02 | 3.9147970123e-07 | 6.1898791349e+02 |
| 5.3210642128e-02 | 3.9147525081e-07 | 6.2132418103e+02 |
| 5.3410682136e-02 | 3.9147078362e-07 | 6.2366045250e+02 |
| 5.3610722144e-02 | 3.9146629966e-07 | 6.2599672789e+02 |
| 5.3810762152e-02 | 3.9146179895e-07 | 6.2833300718e+02 |
| 5.4010802160e-02 | 3.9145728146e-07 | 6.3066929037e+02 |
| 5.4210842168e-02 | 3.9145274722e-07 | 6.3300557745e+02 |
| 5.4410882176e-02 | 3.9144819620e-07 | 6.3534186840e+02 |
| 5.4610922184e-02 | 3.9144362843e-07 | 6.3767816322e+02 |
| 5.4810962192e-02 | 3.9143904389e-07 | 6.4001446189e+02 |
| 5.5011002200e-02 | 3.9143444258e-07 | 6.4235076440e+02 |
| 5.5211042208e-02 | 3.9142982451e-07 | 6.4468707074e+02 |
| 5.5411082216e-02 | 3.9142518968e-07 | 6.4702338090e+02 |
| 5.5611122224e-02 | 3.9142053808e-07 | 6.4935969485e+02 |
| 5.5811162232e-02 | 3.9141586972e-07 | 6.5169601260e+02 |
| 5.6011202240e-02 | 3.9141118459e-07 | 6.5403233413e+02 |
| 5.6211242248e-02 | 3.9140648270e-07 | 6.5636865942e+02 |
| 5.6411282256e-02 | 3.9140176404e-07 | 6.5870498845e+02 |
| 5.6611322264e-02 | 3.9139702862e-07 | 6.6104132123e+02 |
| 5.6811362272e-02 | 3.9139227643e-07 | 6.6337765772e+02 |
| 5.7011402280e-02 | 3.9138750748e-07 | 6.6571399792e+02 |
| 5.7211442288e-02 | 3.9138272177e-07 | 6.6805034180e+02 |
| 5.7411482296e-02 | 3.9137791929e-07 | 6.7038668937e+02 |
| 5.7611522304e-02 | 3.9137310005e-07 | 6.7272304059e+02 |
| 5.7811562312e-02 | 3.9136826404e-07 | 6.7505939545e+02 |
| 5.8011602320e-02 | 3.9136341127e-07 | 6.7739575394e+02 |
| 5.8211642328e-02 | 3.9135854173e-07 | 6.7973211604e+02 |
| 5.8411682336e-02 | 3.9135365543e-07 | 6.8206848174e+02 |
| 5.8611722344e-02 | 3.9134875236e-07 | 6.8440485101e+02 |
| 5.8811762352e-02 | 3.9134383253e-07 | 6.8674122384e+02 |
| 5.9011802360e-02 | 3.9133889594e-07 | 6.8907760021e+02 |
| 5.9211842368e-02 | 3.9133394258e-07 | 6.9141398010e+02 |
| 5.9411882376e-02 | 3.9132897246e-07 | 6.9375036349e+02 |
| 5.9611922384e-02 | 3.9132398557e-07 | 6.9608675038e+02 |
| 5.9811962392e-02 | 3.9131898191e-07 | 6.9842314072e+02 |
| 6.0012002400e-02 | 3.9131396150e-07 | 7.0075953452e+02 |
| 6.0212042408e-02 | 3.9130892432e-07 | 7.0309593174e+02 |
| 6.0412082416e-02 | 3.9130387037e-07 | 7.0543233236e+02 |
| 6.0612122424e-02 | 3.9129879966e-07 | 7.0776873638e+02 |
| 6.0812162432e-02 | 3.9129371219e-07 | 7.1010514375e+02 |
| 6.1012202440e-02 | 3.9128860795e-07 | 7.1244155448e+02 |
| 6.1212242448e-02 | 3.9128348695e-07 | 7.1477796853e+02 |
| 6.1412282456e-02 | 3.9127834918e-07 | 7.1711438588e+02 |
| 6.1612322464e-02 | 3.9127319465e-07 | 7.1945080651e+02 |
| 6.1812362472e-02 | 3.9126802335e-07 | 7.2178723040e+02 |
| 6.2012402480e-02 | 3.9126283529e-07 | 7.2412365752e+02 |
| 6.2212442488e-02 | 3.9125763047e-07 | 7.2646008785e+02 |
| 6.2412482496e-02 | 3.9125240888e-07 | 7.2879652138e+02 |
| 6.2612522505e-02 | 3.9124717053e-07 | 7.3113295807e+02 |
| 6.2812562513e-02 | 3.9124191541e-07 | 7.3346939790e+02 |
| 6.3012602521e-02 | 3.9123664353e-07 | 7.3580584085e+02 |
| 6.3212642529e-02 | 3.9123135488e-07 | 7.3814228690e+02 |
| 6.3412682537e-02 | 3.9122604947e-07 | 7.4047873601e+02 |
| 6.3612722545e-02 | 3.9122072730e-07 | 7.4281518816e+02 |
| 6.3812762553e-02 | 3.9121538836e-07 | 7.4515164334e+02 |
| 6.4012802561e-02 | 3.9121003266e-07 | 7.4748810150e+02 |
| 6.4212842569e-02 | 3.9120466020e-07 | 7.4982456263e+02 |
| 6.4412882577e-02 | 3.9119927097e-07 | 7.5216102670e+02 |
| 6.4612922585e-02 | 3.9119386497e-07 | 7.5449749368e+02 |
| 6.4812962593e-02 | 3.9118844221e-07 | 7.5683396355e+02 |
| 6.5013002601e-02 | 3.9118300269e-07 | 7.5917043627e+02 |
| 6.5213042609e-02 | 3.9117754641e-07 | 7.6150691183e+02 |
| 6.5413082617e-02 | 3.9117207336e-07 | 7.6384339018e+02 |
| 6.5613122625e-02 | 3.9116658354e-07 | 7.6617987131e+02 |
| 6.5813162633e-02 | 3.9116107696e-07 | 7.6851635519e+02 |
| 6.6013202641e-02 | 3.9115555362e-07 | 7.7085284178e+02 |
| 6.6213242649e-02 | 3.9115001352e-07 | 7.7318933105e+02 |
| 6.6413282657e-02 | 3.9114445665e-07 | 7.7552582298e+02 |
| 6.6613322665e-02 | 3.9113888302e-07 | 7.7786231753e+02 |
| 6.6813362673e-02 | 3.9113329262e-07 | 7.8019881468e+02 |
| 6.7013402681e-02 | 3.9112768546e-07 | 7.8253531440e+02 |
| 6.7213442689e-02 | 3.9112206153e-07 | 7.8487181664e+02 |
| 6.7413482697e-02 | 3.9111642085e-07 | 7.8720832139e+02 |
| 6.7613522705e-02 | 3.9111076340e-07 | 7.8954482861e+02 |
| 6.7813562713e-02 | 3.9110508918e-07 | 7.9188133826e+02 |
| 6.8013602721e-02 | 3.9109939820e-07 | 7.9421785032e+02 |
| 6.8213642729e-02 | 3.9109369046e-07 | 7.9655436474e+02 |
| 6.8413682737e-02 | 3.9108796595e-07 | 7.9889088151e+02 |
| 6.8613722745e-02 | 3.9108222469e-07 | 8.0122740058e+02 |
| 6.8813762753e-02 | 3.9107646665e-07 | 8.0356392192e+02 |
| 6.9013802761e-02 | 3.9107069186e-07 | 8.0590044549e+02 |
| 6.9213842769e-02 | 3.9106490030e-07 | 8.0823697127e+02 |
| 6.9413882777e-02 | 3.9105909198e-07 | 8.1057349921e+02 |
| 6.9613922785e-02 | 3.9105326689e-07 | 8.1291002927e+02 |
| 6.9813962793e-02 | 3.9104742504e-07 | 8.1524656144e+02 |
| 7.0014002801e-02 | 3.9104156643e-07 | 8.1758309566e+02 |
| 7.0214042809e-02 | 3.9103569105e-07 | 8.1991963190e+02 |
| 7.0414082817e-02 | 3.9102979892e-07 | 8.2225617013e+02 |
| 7.0614122825e-02 | 3.9102389001e-07 | 8.2459271030e+02 |
| 7.0814162833e-02 | 3.9101796435e-07 | 8.2692925238e+02 |
| 7.1014202841e-02 | 3.9101202192e-07 | 8.2926579633e+02 |
| 7.1214242849e-02 | 3.9100606273e-07 | 8.3160234211e+02 |
| 7.1414282857e-02 | 3.9100008678e-07 | 8.3393888969e+02 |
| 7.1614322865e-02 | 3.9099409406e-07 | 8.3627543902e+02 |
| 7.1814362873e-02 | 3.9098808458e-07 | 8.3861199007e+02 |
| 7.2014402881e-02 | 3.9098205834e-07 | 8.4094854279e+02 |
| 7.2214442889e-02 | 3.9097601534e-07 | 8.4328509714e+02 |
| 7.2414482897e-02 | 3.9096995557e-07 | 8.4562165309e+02 |
| 7.2614522905e-02 | 3.9096387904e-07 | 8.4795821059e+02 |
| 7.2814562913e-02 | 3.9095778575e-07 | 8.5029476961e+02 |
| 7.3014602921e-02 | 3.9095167569e-07 | 8.5263133009e+02 |
| 7.3214642929e-02 | 3.9094554887e-07 | 8.5496789200e+02 |
